                        1 11 1 |nw = 90, c+1 = 546
                        1 11 1 |nw = 90, c+1 = 561
                        1 11 1 |nw = 90, c+1 = 620
                        1 11 11|nw = 91, c+1 = 200
                        1 11 11|nw = 91, c+1 = 228
                        1 11 11|nw = 91, c+1 = 237
                        1 11 11|nw = 91, c+1 = 343
                        1 11 11|nw = 91, c+1 = 349
                        1 11 11|nw = 91, c+1 = 550
                        1 111  |nw = 92, c+1 = 320
                        1 111  |nw = 92, c+1 = 562
                        1 111 1|nw = 93, c+1 = 1050
                        1 111 1|nw = 93, c+1 = 189
                        1 111 1|nw = 93, c+1 = 202
                        1 111 1|nw = 93, c+1 = 231
                        1 111 1|nw = 93, c+1 = 345
                        1 111 1|nw = 93, c+1 = 551
                        1 1111 |nw = 94, c+1 = 229
                        1 1111 |nw = 94, c+1 = 351
                        1 1111 |nw = 94, c+1 = 547
                        1 1111 |nw = 94, c+1 = 604
                        1 11111|nw = 95, c+1 = 621
                        11     |nw = 96, c+1 = 240
                        11     |nw = 96, c+1 = 335
                        11    1|nw = 97, c+1 = 251
                        11    1|nw = 97, c+1 = 552
                        11    1|nw = 97, c+1 = 555
                        11   1 |nw = 98, c+1 = 213
                        11   1 |nw = 98, c+1 = 353
                        11   1 |nw = 98, c+1 = 357
                        11   1 |nw = 98, c+1 = 556
                        11   11|nw = 99, c+1 = 203
                        11   11|nw = 99, c+1 = 216
                        11   11|nw = 99, c+1 = 249
                        11   11|nw = 99, c+1 = 327
                        11   11|nw = 99, c+1 = 566
                        11  1  |nw = 100, c+1 = 204
                        11  1  |nw = 100, c+1 = 622
                        11  1 1|nw = 101, c+1 = 329
                        11  1 1|nw = 101, c+1 = 567
                        11  11 |nw = 102, c+1 = 1045
                        11  11 |nw = 102, c+1 = 206
                        11  11 |nw = 102, c+1 = 241
                        11  11 |nw = 102, c+1 = 243
                        11  11 |nw = 102, c+1 = 608
                        11  111|nw = 103, c+1 = 1047
                        11  111|nw = 103, c+1 = 612
                        11 1   |nw = 104, c+1 = 252
                        11 1  1|nw = 105, c+1 = 205
                        11 1  1|nw = 105, c+1 = 214
                        11 1  1|nw = 105, c+1 = 217
                        11 1  1|nw = 105, c+1 = 359
                        11 1  1|nw = 105, c+1 = 571
                        11 1 1 |nw = 106, c+1 = 334
                        11 1 1 |nw = 106, c+1 = 609
                        11 1 1 |nw = 106, c+1 = 625
                        11 1 11|nw = 107, c+1 = 250
                        11 1 11|nw = 107, c+1 = 358
                        11 11  |nw = 108, c+1 = 207
                        11 11  |nw = 108, c+1 = 242
                        11 11 1|nw = 109, c+1 = 244
